      program_name  constant_write  var_write  read
776   program_4985               7          2     1
777   program_2146              17         16     4
778   program_1950              12         17    35
779   program_6801              15          7    16
780   program_1628              12          0     0
781   program_5365               7        265     4
782   program_6425               0        130     3
783   program_1537               9         41    16
784   program_1313              19         17    10
785    program_280               2        161     5
786   program_6119               0          1     2
787   program_1110              23          2     1
788   program_6277               0        119     6
789   program_5140               9         86    19
790   program_2735              31          6     1
791   program_5641              43         14    15
792   program_4137              24        139    31
793   program_1694               8          2     4
794   program_9311              12          6     2
795   program_2742              26         16    10
796   program_7820               1         96     4
797   program_9546               0         55     2
798   program_7480              45          0     0
799   program_7879              21          9     4
800   program_8389               4        170    12
801   program_5665              26         38    11
802   program_3024               0        115     2
803   program_1652              34         12     3
804   program_1377               1         57     2
805   program_2482               8          2     3
806   program_5878               2        352     4
807   program_9877               0        171     2
808   program_3777               0         27     9
809   program_4230              37          6     2
810   program_1090              17         82    25
811   program_6906               7          9     3
812   program_1258               0         55     2
813   program_3543               0        167     2
814   program_1459              29          0     0
815   program_6412              28          0     0
816   program_7577              11          8     3
817   program_3693              12          7     1
818   program_1440               0        281     2
819   program_9520               6         36    19
820   program_8655               0         44     4
821   program_4729              20         98    31
822   program_4776               5          2     0
823   program_3592              33        535    17
824   program_5200               0        116     3
825   program_7811               5        123     8
826   program_5250               0         18     5
827   program_8106              58         31     6
828   program_6086               1        334     6
829   program_4622              11          0     0
830   program_4439              28          2     0
831   program_8782               0         20     2
832   program_5516               0        118     3
833   program_4745               8          0     0
834   program_5738              15        403    16
835   program_5686               0         58    16
836   program_3451              31         12     1
837   program_5070               2        144     6
838   program_8808              23          0     0
839   program_2655               1          1     1
840   program_2827               0        307     2
841   program_5949              30         46    24
842   program_3360              12          3     0
843   program_1058              11         18     7
844   program_1902               9        385    21
845   program_8266              12          8     6
846   program_8993              17         16     5
847   program_9280             113         24     1
848   program_3964              27          0     0
849   program_6110               7        118     9
850   program_5361              13          5     1
851   program_4873               9          2     0
852   program_7225               9         13    10
853   program_6947               1         80    11
854   program_6073               0         12     2
855    program_386               8          5     2
856   program_7378              22          2     1
857   program_8485              14          3     4
858   program_8633              38          8     0
859   program_8758              41         29     5
860   program_4180              38        227    27
861   program_9582              18          0     0
862   program_7938               9          3     5
863   program_8917               0        174     2
864   program_7016              22          0     0
