,GCC_O0,GCC_O1,GCC_O2,GCC_O3,LLVM_O0,LLVM_O1,LLVM_O2,LLVM_O3
876,"{'nodes': 2097, 'edges': 3279}","{'nodes': 232, 'edges': 425}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2068, 'edges': 3241}","{'nodes': 20, 'edges': 25}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
877,"{'nodes': 21, 'edges': 27}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 23, 'edges': 30}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
878,"{'nodes': 323, 'edges': 506}","{'nodes': 128, 'edges': 226}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 305, 'edges': 476}","{'nodes': 18, 'edges': 25}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
879,"{'nodes': 1450, 'edges': 2198}","{'nodes': 40, 'edges': 56}","{'nodes': 34, 'edges': 48}","{'nodes': 34, 'edges': 48}","{'nodes': 1466, 'edges': 2194}","{'nodes': 6, 'edges': 5}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
880,"{'nodes': 132, 'edges': 202}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 1940, 'edges': 2974}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}","{'nodes': 9, 'edges': 10}"
881,"{'nodes': 998, 'edges': 1525}","{'nodes': 50, 'edges': 70}","{'nodes': 49, 'edges': 69}","{'nodes': 42, 'edges': 54}","{'nodes': 1054, 'edges': 1592}","{'nodes': 28, 'edges': 46}","{'nodes': 15, 'edges': 20}","{'nodes': 15, 'edges': 20}"
882,"{'nodes': 18, 'edges': 22}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}","{'nodes': 18, 'edges': 22}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}","{'nodes': 10, 'edges': 11}"
883,"{'nodes': 2082, 'edges': 3313}","{'nodes': 418, 'edges': 779}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 2038, 'edges': 3243}","{'nodes': 27, 'edges': 32}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
884,"{'nodes': 1387, 'edges': 2151}","{'nodes': 127, 'edges': 222}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1512, 'edges': 2346}","{'nodes': 16, 'edges': 21}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
885,"{'nodes': 1269, 'edges': 1974}","{'nodes': 83, 'edges': 135}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 1285, 'edges': 1992}","{'nodes': 13, 'edges': 18}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
886,"{'nodes': 618, 'edges': 953}","{'nodes': 152, 'edges': 273}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}","{'nodes': 662, 'edges': 1004}","{'nodes': 18, 'edges': 23}","{'nodes': 7, 'edges': 6}","{'nodes': 7, 'edges': 6}"
